"filename", "language", "JSON", "JavaScript", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\layout\Footer\Footer.js", "JavaScript", 0, 80, 0, 0, 0, 0, 14, 94
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\layout\Header\Header.css", "CSS", 0, 0, 38, 0, 0, 2, 6, 46
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\layout\Header\Header.js", "JavaScript", 0, 31, 0, 0, 0, 0, 8, 39
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\layout\Header\MetaData.js", "JavaScript", 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\layout\Header\UserOptions.js", "JavaScript", 0, 117, 0, 0, 0, 0, 12, 129
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\layout\Loader\Loader.css", "CSS", 0, 0, 20, 0, 0, 0, 4, 24
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\layout\Loader\Loader.js", "JavaScript", 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\constants\cartConstants.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\constants\orderConstants.js", "JavaScript", 0, 21, 0, 0, 0, 0, 8, 29
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\constants\productConstants.js", "JavaScript", 0, 33, 0, 0, 0, 0, 12, 45
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\constants\userConstants.js", "JavaScript", 0, 40, 0, 0, 0, 0, 14, 54
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\constants\vehicleConstants.js", "JavaScript", 0, 33, 0, 0, 0, 0, 10, 43
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\index.css", "CSS", 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\index.js", "JavaScript", 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\reducers\cartReducer.js", "JavaScript", 0, 43, 0, 0, 0, 1, 2, 46
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\reducers\orderReducer.js", "JavaScript", 0, 173, 0, 0, 0, 2, 13, 188
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\reducers\productReducer.js", "JavaScript", 0, 266, 0, 0, 0, 4, 16, 286
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\reducers\userReducer.js", "JavaScript", 0, 244, 0, 0, 0, 0, 22, 266
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\reducers\vehicleReducer.js", "JavaScript", 0, 266, 0, 0, 0, 7, 16, 289
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\store.js", "JavaScript", 0, 66, 0, 0, 0, 0, 6, 72
"c:\Users\ACER\Downloads\travelogue_fyp\package-lock.json", "JSON", 1135, 0, 0, 0, 0, 0, 1, 1136
"c:\Users\ACER\Downloads\travelogue_fyp\package.json", "JSON", 28, 0, 0, 0, 0, 0, 1, 29
"Total", "-", 20694, 10364, 4283, 38, 30, 1252, 2282, 38943
